EventId,EventTemplate,Occurrences
3b219fff,Temperature (41C) exceeds warning threshold,2
74044c50,Component State Change Component \042SCSI-WWID 01000010 6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID),1
56597868,NIFF node <*> has detected an available network connection on network <*> via interface <*>,91
86d6833d,inconsistent nodesets node-31 0x1fffffffe <ok> node-0 0xfffffffe <ok> node-1 0xfffffffe <ok> node-2 0xfffffffe <ok> node-30 0xfffffffe <ok>,1
13856549,inconsistent nodesets node-1 0x000001fc <ok> node-2 0x000001fc <ok> node-7 0x000001fc <ok> node-4 0x000001fc <ok> node-6 0x000001fc <ok> node-5 0x000001fc <ok> node-3 0x000001fc <ok> node-14 0x0003fdfc <ok> node-13 0x0003fdfc <ok> node-12 0x0003fdfc <ok> node-10 0x0003fdfc <ok> node-16 0x0003fdfc <ok> node-15 0x0003fdfc <ok>,1
fea08751,normal,206
252f035f,not-responding,1
75101dcd,running,162
7b83d3f0,warning,205
7e85bcb6,critical,20
fff66a4d,ambient,292
c76a5e84,active,5
3b38bec1,closing,1
1ee85f6c,starting,1
61326117,blocked,15
bde73f88,Failed subcommands 3406,1
f4bd82d8,<*> (command <*>,141
9abe9501,psu failure\ ambient,5
db5aa7f9,Link in reset,9
551adf73,link errors remain current,56
9050ee25,Linkerror event interval expired,394
b09e9fef,Command has <*> <*>,11
9cac1bf6,ServerFileSystem ServerFileSystem domain <*> is full,12
4ddd30d6,Targeting domains <*> and nodes <*>,2
91e567c2,boot (command 2092) Error HALT asserted\ cannot continue,1
71aa2d6b,Link error on broadcast tree <*> 00 <*> <*>,4
162dfff2,ServerFileSystem An ServerFileSystem domain panic has occurred on storage442,1
eecaca39,ClusterFileSystem There is no server for ServerFileSystem domain <*>,32
3ea2d652,Fan speeds ( <*> <*> <*> <*> <*> <*> ),90
a55ec506,Targeting domains <*> and nodes <*> child of command <*>,5
db9587f2,Component State Change Component \042alt0\042 is in the unavailable state (HWID),11
8f3207a1,ClusterFileSystem ServerFileSystem domain <*> is no longer served by node <*>,36
98452bf8,risBoot (command 1903) Error Timed out while waiting for SRM prompt <ABORT code completed>,1
45a5fb3b,inconsistent nodesets <*> <*> <ok> <*> <*> <ok> <*> <*> <ok> <*> <*> <ok>,2
d082990b,NIFF node <*> detected a failed network connection on network 5.5.224.0 via interface alt0,2
e13d082a,power/control problem,1
b02b9741,not responding,60
8cfafe98,configured out,91
641961b9,Link ok,13
ec4e03ec,Link error,13
128fe11d,Targeting domains node-D[0\ 5] and nodes node-[27\ 191],1
22342128,Targeting domains node-D7 and nodes node-[224\ 228\ 232],1
