EventId,EventTemplate,Occurrences
82ea09ae,Created MRAppMaster for application appattempt_1445144423722_0020_000001,1
b827c7a4,Executing with tokens,1
6fe2dc24,Kind YARN_AM_RM_TOKEN Service Ident (appAttemptId { application_id { id 20 cluster_timestamp 1445144423722 } attemptId 1 } keyId -127633188),1
0594ecc2,Using mapred newApiCommitter.,1
c0c8618d,OutputCommitter set in config null,1
d79644a2,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,1
2ee5396c,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,1
db7c59ca,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,1
3d078819,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,1
7c11e369,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,1
f8594974,Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,1
e057f515,Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,1
4294ed1e,Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,1
186cb319,Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,1
7de9bc65,Default file system [hdfs //msra-sa-41 9000],3
3a03968c,Emitting job history data to the timeline server is not enabled,1
4970db4c,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,1
ca7d7941,loaded properties from hadoop-metrics2.properties,1
9e8ad6ab,Scheduled snapshot period at 10 second(s).,1
fc657c96,MRAppMaster metrics system started,1
d3121b5d,Adding job token for job_1445144423722_0020 to jobTokenSecretManager,1
d19526e3,Not uberizing job_1445144423722_0020 because not enabled; too many maps; too much input;,1
d9c1b418,Input size for job job_1445144423722_0020 1256521728. Number of splits 10,1
354f3715,Number of reduces for job job_1445144423722_0020 1,1
f818dffe,job_1445144423722_0020Job Transitioned from NEW to INITED,1
8cb82d37,MRAppMaster launching normal non-uberized multi-container job job_1445144423722_0020.,1
916d4a74,Using callQueue class java.util.concurrent.LinkedBlockingQueue,2
192d0e3e,Starting Socket Reader #1 for port <*>,2
8c4d0a72,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,1
8592bc6d,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/<*> 62260,1
0f129e3f,IPC Server Responder starting,2
7ffbae6e,IPC Server listener on 62260 starting,1
a79a1702,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,1
0859dbfb,Http request log for http.requests.mapreduce is not defined,1
bbb12783,Added global filter 'safety' (class org.apache.hadoop.http.HttpServer2$QuotingInputFilter),1
a69a9d3f,Added filter AM_PROXY_FILTER (class org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context <*>,2
efb45bf5,adding path spec /mapreduce/*,1
44cf7cf3,adding path spec /ws/*,1
dcd06e1a,Jetty bound to port 62267,1
6b77fa65,jetty-6.1.26,1
b77d000a,Extract jar file /D /hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C \Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,1
cdd0aa36,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*> 62267,1
31bfc913,Web app /mapreduce started at 62267,1
5ba9445a,Registered webapp guice modules,1
10357c40,JOB_CREATE job_1445144423722_0020,1
79408ee4,nodeBlacklistingEnabled true,1
17dc3b51,maxTaskFailuresPerNode is 3,1
93a481e4,blacklistDisablePercent is 33,1
4376d3b6,IPC Server listener on 62270 starting,1
a8084fe0,Connecting to ResourceManager at msra-sa-41/<*> 8030,1
da37e1be,maxContainerCapability <memory 8192 vCores 32>,1
eb3e7e39,queue default,1
361211a0,Upper limit on the thread pool size is 500,1
e871b7f1,yarn.client.max-cached-nodemanagers-proxies 0,1
8362f0f7,job_1445144423722_0020Job Transitioned from INITED to SETUP,1
565e2e36,Processing the event EventType JOB_SETUP,1
59681fa2,job_1445144423722_0020Job Transitioned from SETUP to RUNNING,1
e70584d7,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,15
ac22b5ea,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,18
af0da6f2,<*> Task Transitioned from NEW to SCHEDULED,11
83c1b8ed,<*> TaskAttempt Transitioned from NEW to UNASSIGNED,14
7cbd1b8a,mapResourceRequest <memory 1024 vCores 1>,1
6b76b9f3,Event Writer setup for JobId job_1445144423722_0020 File hdfs //msra-sa-41 9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job_1445144423722_0020_1.jhist,1
faee4d46,reduceResourceRequest <memory 1024 vCores 1>,1
9eeab890,Before Scheduling PendingReds 1 ScheduledMaps 10 ScheduledReds 0 AssignedMaps 0 AssignedReds 0 CompletedMaps 0 CompletedReds 0 ContAlloc 0 ContRel 0 HostLocal 0 RackLocal 0,3
6613e5a1,getResources() for application_1445144423722_0020 ask 4 release 0 newContainers 0 finishedContainers 0 resourcelimit <memory <*> vCores <*> knownNMs 4,12
029f25d4,Recalculating schedule headroom <memory 10240 vCores -17>,2
773f4a2b,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,130
04b44295,Got allocated containers 1,9
a6673ff8,Resolved 04DN8IQ.fareast.corp.microsoft.com to /default-rack,2
3c6dde18,Assigned container container_1445144423722_0020_01_000002 to attempt_1445144423722_0020_m_000000_0,1
0a588509,Recalculating schedule headroom <memory 8192 vCores -19>,1
79a289de,After Scheduling PendingReds 1 ScheduledMaps 9 ScheduledReds 0 AssignedMaps 1 AssignedReds 0 CompletedMaps 0 CompletedReds 0 ContAlloc 1 ContRel 0 HostLocal 0 RackLocal 1,3
4ded0a3e,The job-jar file on the remote FS is hdfs //msra-sa-41 9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.jar,1
bb42a120,The job-conf file on the remote FS is /tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.xml,1
60d079c6,Adding #0 tokens and #1 secret keys for NM use for launching container,1
a83c59ee,Size of containertokens_dob is 1,1
944f8887,Putting shuffle token in serviceData,1
e03f95cb,<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,10
de6d1f81,Processing the event EventType CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000002 taskAttempt attempt_1445144423722_0020_m_000000_0,1
c77ffeb6,Launching attempt_1445144423722_0020_m_000000_0,1
55a912d1,Opening proxy 04DN8IQ.fareast.corp.microsoft.com 54883,1
e355b3f2,Shuffle port returned by ContainerManager for <*> 13562,10
48b56f62,TaskAttempt [attempt_1445144423722_0020_m_000000_0] using containerId [container_1445144423722_0020_01_000002 on NM [04DN8IQ.fareast.corp.microsoft.com 54883],1
2a94fbaf,<*> TaskAttempt Transitioned from ASSIGNED to RUNNING,10
accbe83c,ATTEMPT_START task_1445144423722_0020_m_000000,1
a66db97c,<*> Task Transitioned from SCHEDULED to RUNNING,10
a5943389,Recalculating schedule headroom <memory 7168 vCores -20>,1
97990e7d,Resolved MININT-FNANLI5.fareast.corp.microsoft.com to /default-rack,4
e58be014,Assigned container container_1445144423722_0020_01_000003 to attempt_1445144423722_0020_m_000001_0,1
a651a6e5,Recalculating schedule headroom <memory 5120 vCores -22>,1
2f8cb088,After Scheduling PendingReds 1 ScheduledMaps 8 ScheduledReds 0 AssignedMaps 2 AssignedReds 0 CompletedMaps 0 CompletedReds 0 ContAlloc 2 ContRel 0 HostLocal 0 RackLocal 2,2
fff36606,Processing the event EventType <*> for container container_1445144423722_0020_01_000003 taskAttempt attempt_1445144423722_0020_m_000001_0,2
ad28b9a2,Launching attempt_1445144423722_0020_m_000001_0,1
4f0ff3aa,Opening proxy MININT-FNANLI5.fareast.corp.microsoft.com 52368,4
83927a1d,TaskAttempt [attempt_1445144423722_0020_m_000001_0] using containerId [container_1445144423722_0020_01_000003 on NM [MININT-FNANLI5.fareast.corp.microsoft.com 52368],1
846b3c60,ATTEMPT_START task_1445144423722_0020_m_000001,1
2681a045,Recalculating schedule headroom <memory 4096 vCores -23>,1
